"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
137,1813,-0.154678918754146,0.16036855694803,-0.378974964439498,78
138,1812,-0.155610541106684,0.16308044855476,-0.388741978723838,78
139,1811,-0.15575941870671,0.165075574262599,-0.399316853416465,78
140,1810,-0.155558073356817,0.165840027116,-0.406015697164555,77
141,1809,-0.153841085187821,0.169871088157271,-0.407896900682871,79
142,1808,-0.15023793475369,0.173864341689521,-0.405292139839364,78
143,1807,-0.145323231745522,0.181639724804797,-0.408241046789856,78
144,1806,-0.139671585854415,0.186553437119169,-0.409225678763951,76
145,1805,-0.133857606771471,0.202204747546743,-0.410792770289985,75
146,1804,-0.128455904187788,0.218735701095472,-0.410313332677669,76
147,1803,-0.124041087794465,0.228619020385779,-0.414425554494556,76
148,1802,-0.121187767282602,0.240486440836101,-0.420157647685044,73
149,1801,-0.120341890225863,0.275941375316603,-0.424038389429548,72
150,1800,-0.121180313367222,0.298195711359709,-0.438467775885437,72
151,1799,-0.123507523543963,0.320260316151518,-0.453719023578423,72
152,1798,-0.127183027710105,0.328493869666522,-0.464465042247711,71
153,1797,-0.132066332819663,0.328423946542891,-0.474297479464437,71
154,1796,-0.138016945826656,0.335282370979766,-0.488956255717738,73
155,1795,-0.144894373685099,0.341477838050285,-0.492359802794026,75
156,1794,-0.152558123349009,0.337749485437063,-0.50212257762856,76
157,1793,-0.160867701772404,0.330849547708101,-0.510210088051547,77
158,1792,-0.169229601104377,0.321739795551263,-0.513507049955076,77
159,1791,-0.177247820838156,0.313585253982202,-0.518286782199824,77
160,1790,-0.185178288293186,0.316171235980144,-0.525563543059671,77
161,1789,-0.193277466797078,0.301287313434465,-0.537337860066649,76
162,1788,-0.201801819677445,0.295311463293936,-0.542460908985375,76
163,1787,-0.211007810261897,0.286639733256028,-0.547116676027522,77
164,1786,-0.221151901878044,0.272304160033384,-0.556481053392669,77
165,1785,-0.2324905578535,0.248046878156701,-0.563505801733844,77
166,1784,-0.244840203923498,0.224044216227074,-0.564310437223373,79
167,1783,-0.253944655574576,0.204644826007444,-0.573599670419386,80
168,1782,-0.25908519679629,0.187481949890056,-0.576419956931906,81
169,1781,-0.260782649038966,0.180448254269972,-0.576448253098151,81
170,1780,-0.259557833752931,0.173278670609444,-0.5711347832181,80
171,1779,-0.255931572388511,0.168396433394964,-0.553953604417547,81
172,1778,-0.250424686396032,0.160270533625218,-0.53822260180587,79
173,1777,-0.24355799722582,0.149950172646178,-0.521375317503785,80
174,1776,-0.235852326328201,0.14577890873377,-0.499754821978446,82
175,1775,-0.227141948503271,0.144658510799073,-0.479864798431507,82
176,1774,-0.216297283616776,0.139798185657996,-0.455047705297988,83
177,1773,-0.203520634470467,0.138721287721727,-0.438612037320931,84
178,1772,-0.189066001153631,0.14683860170443,-0.413363330602596,82
179,1771,-0.173187383755557,0.147176646637706,-0.385615635541799,83
180,1770,-0.156138782365534,0.151020874103242,-0.369121137085456,83
181,1769,-0.138174197072851,0.16507487906106,-0.350856735343664,83
182,1768,-0.119547627966796,0.181058991129713,-0.331461673763659,82
183,1767,-0.10065834108685,0.19747934362881,-0.315681393416872,81
184,1766,-0.0867838271281827,0.217576002425259,-0.302964733115902,80
185,1765,-0.0795142814009862,0.235002280736612,-0.293403764120836,81
186,1764,-0.0775400891298149,0.223909467470448,-0.294334273731984,78
187,1763,-0.0795516355392229,0.217161945951126,-0.2987791349606,77
188,1762,-0.0842393058537644,0.216538444851787,-0.301999052801608,75
189,1761,-0.0902934852979934,0.204224734636862,-0.309210074422958,75
190,1760,-0.0964045590964642,0.198565291387796,-0.315398459944409,75
191,1759,-0.101262912473731,0.208070212960592,-0.325145769687713,74
192,1758,-0.103469886612632,0.214383715764742,-0.34053545791942,74
193,1757,-0.101827462120961,0.230781729465516,-0.359604812752252,71
194,1756,-0.0961008306976133,0.256628307165876,-0.388103066166675,68
195,1755,-0.0861284489158068,0.295259399658299,-0.405645788238258,68
196,1754,-0.0717487733487591,0.333628539762277,-0.424046601979671,66
197,1753,-0.052800260569688,0.387433696652838,-0.461488483185022,61
198,1752,-0.0291213671518112,0.453037620704369,-0.516590275751686,60
199,1751,-0.00055054966834639,0.521241276679009,-0.579528297272208,56
200,1750,0.0330737353074885,0.588618162862648,-0.637396413268743,51
