entity_id,entity_name,lat_dd_north,lon_dd_east,elev_m,hemisphere,depo_context,eco_id,chron_code,geo_id
1404,STE-L2,52.045388,-75.158944,308,north,sedswamp,31,RPD_orig,36
1405,STE-L4,52.045416,-75.182111,304,north,sedswamp,31,RPD_orig,36
1411,Unit Lake Core,59.404,-97.493,249,north,sedlac,58,RPD_orig,36
1412,UTK,56.076389,-115.475278,675,north,sedswamp,180,RPD_orig,36
1417,Auassat core,51.8136,-63.6919,466,north,sedswamp,50,RPD_orig,36
1418,Baie core,49.0966,-68.25,17,north,sedswamp,50,RPD_orig,36
1420,C-L1,52.6458,-72.1912,462,north,sedswamp,92,RPD_orig,36
1421,C-C1,52.647,-72.1926,461,north,sedswamp,92,RPD_orig,36
1422,C-L2,52.6477,-72.1932,464,north,sedswamp,92,RPD_orig,36
1423,Clayoquot Core,49.25,-125.5,15,north,sedlac,47,RPD_orig,36
1424,Dimple core,69.956951,-150.201839,394,north,sedlac,182,RPD_orig,227
1425,E5 core,68.64,-149.46,805,north,sedlac,57,RPD_orig,227
1426,Foy Freeze Core,48.16,-114.35,1006,north,sedlac,8,RPD_orig,227
1427,Foy Core,48.16,-114.35,1006,north,sedlac,8,RPD_orig,227
1429,Frozen Lake core,49.6,-121.46,1180,north,sedlac,183,RPD_orig,36
1431,Keche Lake core,68.017444,-146.923806,740,north,sedlac,57,RPD_orig,227
1436,Little Isac core,67.93,-160.78,210,north,sedlac,57,RPD_orig,227
1438,Manic core,49.1183,-68.305,22,north,sedswamp,50,RPD_orig,36
1439,Mista core,50.8059,-63.3432,372,north,sedswamp,50,RPD_orig,36
1441,Mount Barr Cirque core,49.26,-121.51,1376,north,sedlac,184,RPD_orig,36
1442,Mt Constitution C11 core,48.659979,-122.833612,611,north,sedter,47,RPD_orig,227
1443,Mt Constitution C32 core,48.664006,-122.838676,611,north,sedter,47,RPD_orig,227
1445,Panther Core,48.65,-121.0333,1100,north,sedlac,184,RPD_orig,227
1446,Perch Lake core,68.941494,-150.499372,400,north,sedlac,182,RPD_orig,227
1448,Raven core,68.009028,-162.035694,118,north,sedlac,182,RPD_orig,227
1451,Tungak Lake core,61.4272,-164.200617,25,north,sedlac,185,RPD_orig,227
1453,Upper Capsule Lake core,68.6286,-149.413528,800,north,sedlac,57,RPD_orig,227
1454,West Olaf Lake Core,46.61,-96.18,402,north,sedlac,186,RPD_orig,227
1460,BEN-2,50.11327,-68.80876,392,north,sedswamp,50,RPD_orig,36
1461,BEN-6,50.11368,-68.80838,392,north,sedswamp,50,NA,36
1465,BG04A,45.8,-122.49,154,north,sedlac,154,RPD_orig,227
1470,Loon Lake core,67.92926944,-161.96694444,140,north,sedlac,182,RPD_orig,227
1485,Lac a l'ange core,47.46,-70.4,648,north,sedlac,49,RPD_orig,36
1488,Abeille-5,54.115296,-72.500447,441,north,sedswamp,92,RPD_orig,36
1489,ANZ,56.471944,-111.042778,497,north,sedswamp,180,RPD_orig,36
1490,Aurelie core,50.4185,-74.2354444444444,428,north,sedlac,31,RPD_orig,36
1491,Ayla core,52.89425,-67.04092,582,north,sedlac,92,RPD_orig,36
1496,CAS 0,49.55183384,-78.98619005,270,north,sedswamp,31,RPD_orig,36
1497,CAS 50,49.55200559,-78.98670805,270,north,sedswamp,31,RPD_orig,36
1498,CAS 100,49.5522925,-78.98717844,270,north,sedswamp,31,RPD_orig,36
1499,Cedres core,49.346,-79.208,307,north,sedlac,31,RPD_orig,36
1500,Chasseur core,47.745775,-79.0874527777778,275,north,sedlac,49,RPD_orig,36
1502,Fur core,46.7102166666667,-78.7897333333333,288,north,sedlac,49,RPD_orig,36
1504,Geais core,49.89,-78.65,280,north,sedlac,31,RPD_orig,36
1508,Jack Pine core,50.2705555555556,-86.9627777777778,341,north,sedlac,73,RPD_orig,36
1511,Labelle core,48.1802416666667,-79.4570111111111,375,north,sedlac,31,RPD_orig,36
1514,Loutre core,49.7116944444444,-78.3358333333333,274,north,sedlac,31,RPD_orig,36
1516,Profond core,49.8611388888889,-78.6133055555556,270,north,sedlac,31,RPD_orig,36
1517,Raynald core,49.8092777777778,-78.5358333333333,250,north,sedlac,31,RPD_orig,36
1518,Richard core,50.6194166666667,-74.6860833333333,432,north,sedlac,31,RPD_orig,36
