Year,THW,WD,DIV,PIG,Gomez,JRIBAS,B40,NORUS_8_7,NORUS_7_2,B53,NORUS_7_5,NORUS_7_7,Aurora_Basin,W10,Illimani,D4,Summit2010,NEEM-2011-S1,Tunu2013,ACT11d,ACT2,NGT-B19,Humboldt,Flade-Isblink,Hans-Tausen,NasaU,Akademii-Nauk,Colle_Gnifetti,Upper-Fremont-Glacier,McCall-Glacier,Eclipse
1809,-999.0,29.1,74.9,-999.0,-999.0,27.4,15.0,17.7,17.2,10.2,5.4,5.9,20.7,24.3,518.8,270.0,197.4,239.5,165.0,1178.4,341.6,199.4,86.1,946.4,75.1,-999.0,1087.8,724.5,677.9,-999.0,2441.5
1810,-999.0,36.3,92.7,-999.0,-999.0,52.7,14.9,12.5,16.6,8.3,7.5,5.8,30.9,28.9,322.6,506.2,374.6,529.9,97.0,2348.7,924.2,122.1,226.3,657.0,75.7,-999.0,1170.5,1057.5,530.7,-999.0,2465.9
1811,-999.0,27.2,75.1,-999.0,-999.0,74.4,13.0,19.1,9.4,5.4,18.5,6.2,14.3,14.2,216.3,520.8,310.2,364.9,155.4,443.3,218.7,168.9,270.1,829.7,39.7,-999.0,2506.9,630.0,886.0,-999.0,1229.2
1812,-999.0,37.0,97.6,-999.0,-999.0,66.0,28.8,5.6,8.5,6.5,7.0,5.7,8.1,19.4,338.6,1370.2,161.6,402.6,31.7,321.9,536.3,94.2,137.5,512.0,55.2,291.6,1837.5,594.0,1241.9,-999.0,1927.4
1813,-999.0,20.9,54.2,-999.0,-999.0,21.0,13.7,25.7,6.7,6.7,8.9,5.7,9.2,42.1,393.4,285.5,232.1,540.9,91.8,1083.3,401.3,78.5,299.4,423.5,186.1,324.9,1388.2,612.0,964.5,-999.0,1365.9
1814,-999.0,20.4,65.5,-999.0,-999.0,70.6,9.4,4.7,6.6,4.0,4.2,7.7,28.6,31.2,266.9,847.2,106.5,246.8,96.7,548.9,343.4,141.0,170.3,819.0,105.1,290.0,2390.3,1120.5,586.5,-999.0,716.2
1815,-999.0,17.0,54.4,-999.0,-999.0,36.1,16.6,15.8,5.6,5.0,3.7,8.2,26.6,16.3,523.6,431.2,309.2,258.7,36.2,578.0,329.7,104.2,188.1,499.9,56.5,232.2,2200.1,495.0,473.4,-999.0,1909.0
1816,-999.0,26.7,55.5,-999.0,-999.0,28.8,15.1,2.9,8.5,6.3,4.4,6.7,4.4,11.1,310.5,419.9,306.9,444.3,125.9,1260.7,1110.6,133.7,229.6,578.8,183.1,399.9,1144.0,3969.0,737.5,-999.0,1657.9
1817,-999.0,19.5,86.2,-999.0,-999.0,41.5,7.5,27.8,10.1,7.9,5.9,3.8,12.9,23.7,293.1,379.0,309.3,352.2,134.6,866.6,317.7,132.2,126.1,928.6,104.9,1199.9,1234.1,2407.5,1337.3,-999.0,1654.3
1818,-999.0,15.8,49.2,-999.0,-999.0,26.7,5.7,15.0,7.2,10.1,5.9,3.3,12.2,18.6,407.4,285.7,548.9,272.0,164.3,744.5,410.4,143.4,311.4,627.1,76.2,1002.4,593.1,585.0,964.5,-999.0,3377.3
